Q-E,PH-E,DBO-E,DQO-E,SS-E,PH-S,DBO-S,DQO-S,SS-S,BOD_removal
40477.6,7.58,220.4,496.0,116.8,7.76,21.9,74.2,8.9,90.05
34617.7,7.75,180.4,429.2,204.1,7.61,10.5,51.6,7.3,94.15
33066.7,7.75,261.9,594.7,267.1,7.57,30.1,95.7,28.1,88.5
39462.1,7.7,245.3,533.6,229.6,7.52,26.8,87.4,19.4,89.06
39469.8,7.83,249.5,523.3,317.4,7.57,39.1,115.4,38.8,84.32
34958.3,8.06,188.4,437.7,271.3,7.67,17.5,57.5,18.2,90.7
35173.8,7.98,90.8,191.0,187.3,7.65,4.1,15.3,4.9,95.5
39392.3,7.25,285.8,675.4,221.4,7.39,29.4,96.7,18.4,89.7
29311.5,6.93,191.3,415.4,217.6,7.31,10.9,41.1,8.0,94.32
29555.2,7.98,168.2,396.9,140.9,7.74,12.1,42.0,6.4,92.83
33689.3,7.29,261.6,593.3,173.0,7.53,30.4,95.1,16.4,88.39
36719.3,7.63,196.5,429.6,192.0,7.56,15.7,64.0,12.4,92.0
39865.4,7.35,283.6,609.2,118.2,7.36,30.7,86.4,9.6,89.16
46852.1,7.16,257.0,556.7,222.4,7.44,36.5,108.1,25.7,85.8
43146.0,7.86,261.0,585.4,207.5,7.72,33.4,103.2,25.0,87.2
37040.4,7.93,138.0,304.8,136.4,7.72,5.6,31.1,2.3,95.95
37885.9,7.53,292.7,626.6,240.2,7.56,38.5,120.0,33.2,86.85
31984.8,6.92,235.7,514.6,255.8,7.43,17.0,68.4,13.5,92.8
37888.9,7.54,197.8,436.8,231.4,7.51,24.5,74.9,21.5,87.61
36268.0,7.82,228.6,454.3,203.8,7.64,23.6,69.2,15.1,89.67
39936.3,7.26,113.4,254.7,249.6,7.38,10.8,35.7,21.9,90.44
33036.6,7.76,244.5,514.0,254.0,7.6,23.0,85.0,18.8,90.6
41116.1,7.7,158.2,329.9,235.4,7.65,15.6,46.2,14.5,90.16
47196.4,7.87,138.8,282.0,178.8,7.57,14.9,45.3,11.9,89.3
37347.4,7.74,128.7,260.0,233.8,7.51,8.5,32.1,11.4,93.39
40410.3,7.41,286.8,592.0,279.8,7.48,45.0,118.1,37.0,84.3
42140.9,8.06,182.2,388.0,190.2,7.65,19.4,64.2,13.2,89.34
35592.7,7.65,312.0,747.4,324.9,7.59,50.8,120.0,50.0,83.72
39344.6,7.69,187.9,403.4,193.7,7.53,13.1,56.0,9.8,93.04
38075.6,7.42,117.6,260.7,221.6,7.6,7.2,30.7,8.6,93.88
38586.1,7.57,153.0,342.7,186.4,7.43,12.1,42.5,9.1,92.06
33361.9,7.43,294.1,651.0,231.2,7.57,24.3,83.7,14.7,91.74
38147.1,7.65,210.6,461.8,132.9,7.49,21.4,70.9,12.5,89.84
40988.0,8.21,187.1,389.3,192.7,7.59,21.2,63.1,18.1,88.65
46706.9,7.29,229.6,538.4,165.4,7.45,34.4,104.3,22.2,85.04
43755.6,7.22,250.1,595.4,226.8,7.4,34.7,97.0,25.3,86.13
50919.1,8.14,287.0,583.2,269.7,7.61,50.9,120.0,44.8,82.26
33395.9,7.64,306.9,643.8,252.3,7.42,32.4,111.5,24.0,89.44
43233.9,7.5,198.4,431.0,101.4,7.5,11.5,46.8,6.3,94.2
39100.1,8.01,140.4,295.4,322.1,7.72,18.0,53.5,31.3,87.16
51138.8,7.52,195.2,439.3,234.8,7.55,27.7,86.7,29.0,85.8
33150.2,8.25,235.6,501.2,181.2,7.73,20.6,71.0,11.8,91.27
32961.7,7.9,162.2,391.9,227.9,7.65,12.3,50.7,12.5,92.39
34403.6,7.55,162.6,377.0,228.8,7.51,11.7,49.5,15.9,92.78
25256.6,8.35,240.6,534.5,186.7,7.65,14.7,58.3,9.7,93.9
34845.5,7.52,217.1,499.9,229.9,7.41,13.4,53.3,12.1,93.81
33445.2,7.92,222.0,512.9,189.6,7.61,14.5,57.4,9.6,93.48
38902.4,7.79,174.5,374.0,199.8,7.58,15.5,50.2,12.2,91.14
40050.5,8.09,206.2,436.8,185.7,7.74,16.1,56.2,11.7,92.19
49257.0,8.17,164.5,363.3,148.4,7.75,22.3,70.4,15.0,86.47
43702.5,7.71,273.4,625.1,227.3,7.61,44.9,120.0,31.0,83.58
34538.6,7.47,282.1,624.6,249.3,7.47,40.9,120.0,29.1,85.5
32609.5,7.84,109.2,223.1,245.7,7.5,5.1,26.7,7.7,95.37
40951.5,7.5,164.2,348.1,261.0,7.53,16.1,51.6,17.0,90.22
30078.6,8.3,130.2,285.5,236.2,7.78,4.2,23.0,5.3,96.8
48988.8,7.74,181.0,396.8,193.4,7.41,22.5,68.2,20.4,87.56
45076.6,7.59,215.0,515.4,262.0,7.47,33.0,105.4,35.5,84.64
35184.9,7.76,133.0,274.2,152.1,7.53,5.2,19.5,2.6,96.06
27721.2,7.3,164.7,370.6,175.0,7.45,4.7,35.0,3.3,97.17
46123.2,7.41,159.8,375.3,171.8,7.42,14.5,55.1,14.5,90.9
37312.8,8.06,232.4,564.2,274.0,7.67,32.6,109.1,33.7,85.98
45426.9,7.5,224.2,484.1,267.1,7.49,29.6,96.2,28.1,86.8
28433.4,7.39,176.7,397.4,244.4,7.45,12.1,44.4,9.8,93.16
34403.7,7.86,230.6,520.5,273.6,7.56,23.4,83.8,23.8,89.87
38031.5,8.06,187.2,415.5,176.0,7.62,13.7,51.8,12.9,92.68
38281.9,7.92,203.7,446.1,237.4,7.55,20.0,64.7,18.8,90.16
35299.6,8.0,320.4,718.9,213.7,7.68,43.2,120.0,22.8,86.52
41737.1,7.47,300.4,584.9,262.3,7.53,45.5,120.0,29.6,84.87
31594.3,7.27,142.0,322.1,214.2,7.38,9.8,39.3,13.2,93.09
37145.7,8.15,269.8,596.9,200.8,7.8,25.2,87.7,15.1,90.67
38721.8,7.6,268.7,585.1,247.0,7.51,33.8,91.8,27.9,87.42
41086.6,7.62,151.1,363.4,263.8,7.64,12.2,51.5,12.4,91.93
42269.7,8.1,269.1,573.9,186.6,7.63,37.0,113.1,21.8,86.25
31252.1,7.87,312.3,674.4,216.9,7.47,34.3,109.6,21.6,89.01
28795.3,7.84,152.6,366.2,167.1,7.63,5.5,31.9,2.8,96.37
45666.1,8.35,164.9,349.2,95.1,7.77,13.4,47.2,5.9,91.85
39993.9,7.51,281.1,602.9,230.0,7.5,39.8,120.0,30.6,85.84
33509.1,7.98,236.3,516.4,250.4,7.6,19.0,59.3,17.6,91.95
47306.9,7.72,253.1,578.1,233.1,7.56,39.3,120.0,28.7,84.49
38694.0,7.78,240.4,534.0,122.5,7.55,30.5,88.0,12.3,87.32
45075.8,8.16,243.4,504.1,202.5,7.68,35.1,96.7,25.1,85.59
38405.1,7.85,140.4,301.4,109.1,7.66,10.4,36.5,6.3,92.57
50364.5,7.86,282.8,605.1,288.5,7.62,51.2,120.0,46.7,81.91
48532.0,8.02,290.2,636.1,165.7,7.7,50.8,120.0,25.7,82.5
36506.2,7.59,206.2,462.5,282.8,7.51,18.3,56.8,17.7,91.15
43829.4,7.45,217.4,487.4,267.3,7.46,28.8,93.0,29.7,86.73
41872.3,7.39,128.1,259.1,175.0,7.39,10.1,29.9,8.7,92.12
46211.8,7.11,250.9,578.6,163.4,7.36,31.8,104.7,17.5,87.34
32210.5,8.32,254.3,565.9,237.5,7.51,18.8,70.1,15.5,92.59
42116.3,7.37,216.3,505.7,177.8,7.42,24.4,73.8,16.7,88.71
44350.5,7.63,287.5,645.2,225.1,7.53,47.1,120.0,36.8,83.63
27447.6,7.62,200.0,461.9,195.9,7.57,14.2,48.7,5.6,92.91
30900.4,7.79,253.9,570.4,130.9,7.57,19.4,72.3,6.2,92.35
25764.6,7.94,158.8,370.8,108.5,7.66,3.0,20.6,2.7,98.11
36383.6,7.96,218.6,492.3,231.3,7.48,19.6,72.0,17.7,91.04
42305.3,7.53,209.5,458.9,191.9,7.5,23.5,72.3,19.5,88.81
47014.1,7.65,233.5,566.8,192.3,7.43,29.8,97.7,17.8,87.24
38444.6,7.78,197.8,452.8,254.8,7.5,21.4,73.6,26.4,89.16
47771.7,7.63,212.1,478.8,278.7,7.52,30.8,91.4,34.7,85.48
29719.4,8.18,269.6,558.6,206.4,7.79,16.6,62.5,8.7,93.84
27779.7,7.85,193.8,401.4,203.0,7.63,8.2,30.4,4.9,95.79
37666.7,7.92,123.6,275.5,245.0,7.63,9.1,35.7,12.5,92.65
40304.4,7.9,325.0,719.7,152.2,7.62,45.4,120.0,21.2,86.02
37803.8,8.05,302.9,647.8,231.2,7.62,41.8,120.0,27.6,86.21
25595.3,7.75,142.5,315.4,247.6,7.54,5.0,28.3,7.2,96.52
37465.3,7.31,261.4,616.6,254.0,7.47,33.2,111.5,26.2,87.32
30173.2,7.82,189.8,430.8,123.2,7.5,6.2,27.2,2.7,96.74
42018.0,7.5,235.8,491.9,181.9,7.54,27.7,89.8,21.3,88.27
40199.6,7.54,237.7,520.2,176.1,7.49,30.1,97.4,20.9,87.33
32360.7,7.88,205.9,436.5,225.0,7.67,9.3,42.0,6.6,95.5
34916.8,8.07,173.0,373.8,244.0,7.74,11.1,48.9,13.1,93.6
31644.7,7.71,178.6,385.5,294.8,7.44,16.7,54.4,19.2,90.63
37623.9,7.79,165.0,355.2,195.3,7.55,13.5,43.8,12.8,91.8
43730.9,8.21,170.1,352.9,195.1,7.65,17.8,55.6,14.7,89.55
32085.6,7.77,216.0,472.4,277.5,7.45,11.9,44.9,12.6,94.49
41024.3,8.48,177.1,379.6,234.8,7.72,20.5,66.8,22.9,88.45
34818.5,7.87,260.9,497.6,283.4,7.78,24.3,66.2,18.8,90.7
33242.8,7.17,309.2,743.8,234.4,7.44,27.7,98.0,18.2,91.04
37357.8,7.93,185.2,427.6,162.1,7.76,15.3,55.2,9.2,91.73
31788.5,7.81,234.4,506.8,153.3,7.65,17.5,65.9,9.3,92.55
34678.1,8.09,250.0,550.4,142.4,7.62,24.5,77.9,9.6,90.21
30812.7,7.9,248.3,517.2,253.1,7.59,21.9,65.9,18.5,91.19
49788.4,7.66,224.6,532.1,279.4,7.59,35.9,108.1,37.6,84.02
38211.6,7.33,264.6,632.2,312.5,7.48,31.3,105.5,31.1,88.18
33801.6,7.64,248.9,551.6,262.2,7.5,20.5,67.1,16.3,91.78
39283.9,7.44,145.7,335.5,278.1,7.38,15.0,45.7,21.4,89.68
37326.0,7.53,272.1,603.5,191.0,7.74,37.3,120.0,21.7,86.28
36674.2,7.88,273.2,564.6,162.2,7.6,28.6,81.3,15.2,89.52
41685.0,8.2,174.2,376.1,262.5,7.69,17.4,56.7,17.5,90.0
42545.0,7.82,222.3,491.9,240.9,7.6,26.3,82.9,29.0,88.18
34817.0,7.34,261.0,562.3,225.4,7.44,28.0,84.2,21.6,89.28
34545.1,7.83,207.4,451.8,239.4,7.61,16.8,62.2,15.7,91.9
36349.7,8.06,284.4,623.0,236.2,7.76,26.9,95.8,16.9,90.55
24188.5,7.52,361.8,793.1,284.2,7.5,34.0,113.5,16.7,90.62
28908.9,7.66,172.8,381.2,284.7,7.47,10.8,37.5,17.1,93.73
46201.2,7.7,137.1,287.2,247.2,7.55,15.0,51.4,25.1,89.03
47869.8,7.46,238.2,507.0,262.3,7.46,36.4,104.7,41.6,84.73
36505.8,7.89,263.3,545.4,245.7,7.72,23.4,84.0,16.0,91.11
41459.3,7.66,206.1,473.7,196.9,7.63,23.0,64.8,16.5,88.86
39867.5,7.83,307.2,611.1,257.8,7.61,43.5,117.7,28.2,85.83
56473.3,7.43,139.7,323.4,150.3,7.39,20.3,71.9,19.7,85.46
44717.4,7.57,261.6,611.7,272.7,7.43,35.1,108.9,28.4,86.56
37232.5,7.92,183.6,398.5,160.3,7.63,8.7,36.9,3.8,95.24
32266.8,7.59,323.2,626.8,234.3,7.55,33.2,99.6,21.1,89.71
28361.3,8.22,339.6,734.7,177.7,7.69,30.7,101.9,14.6,90.96
39220.8,7.58,174.0,381.7,247.7,7.49,16.1,52.3,17.9,90.73
33461.9,7.77,187.0,392.6,218.3,7.54,20.1,61.7,22.2,89.25
29466.5,7.98,271.6,583.5,140.3,7.64,16.9,59.9,3.5,93.77
34120.6,7.27,196.8,463.0,241.0,7.27,15.1,65.1,14.1,92.31
31510.7,7.17,217.3,492.5,191.1,7.32,12.6,56.0,6.0,94.22
48122.8,7.24,221.5,466.9,264.1,7.38,35.7,100.0,37.9,83.87
43289.8,8.08,104.8,213.9,220.1,7.76,10.0,30.8,14.3,90.43
37952.2,7.53,219.2,475.0,239.8,7.45,23.9,75.5,20.3,89.09
46879.7,8.47,178.6,389.1,172.1,7.8,17.4,54.5,13.9,90.23
38464.2,7.53,190.4,428.4,190.5,7.53,18.2,58.6,14.2,90.44
32832.3,7.76,306.6,658.1,197.1,7.67,22.5,80.0,9.2,92.65
47138.7,8.16,144.6,325.5,262.8,7.79,15.9,48.7,26.6,89.02
41233.5,8.3,268.8,643.4,303.9,7.74,43.8,120.0,46.8,83.7
31776.5,8.32,203.3,463.8,179.7,7.71,13.5,51.0,4.9,93.36
36858.0,8.06,203.2,446.1,273.8,7.62,22.5,81.2,22.2,88.91
32746.3,8.01,267.4,583.4,111.5,7.64,29.2,75.1,10.5,89.06
29703.2,7.88,240.4,520.3,160.3,7.58,9.1,46.3,3.3,96.21
43557.1,7.93,254.2,589.3,172.1,7.67,30.2,110.7,17.8,88.12
49456.5,7.53,278.1,594.4,152.4,7.54,40.6,118.1,18.2,85.39
29608.6,7.45,200.1,441.2,140.8,7.53,8.9,46.4,3.4,95.56
41377.8,7.7,183.3,404.1,240.6,7.65,22.4,71.2,28.0,87.79
34096.1,7.65,154.9,333.0,209.3,7.68,11.0,35.6,6.1,92.9
35077.2,7.56,170.5,351.6,239.0,7.53,10.4,31.1,8.0,93.9
34445.6,7.91,396.9,886.1,254.5,7.7,60.0,120.0,37.1,84.88
32816.1,7.99,294.7,646.5,233.3,7.62,42.5,119.2,26.1,85.58
38291.1,7.73,138.9,312.6,252.9,7.65,10.9,38.4,17.2,92.15
33014.3,8.14,140.7,301.9,216.5,7.77,8.4,30.6,5.1,94.06
39622.7,7.36,248.9,578.0,160.7,7.53,26.9,99.6,17.0,89.2
37698.6,7.64,252.8,534.1,272.9,7.55,27.6,97.4,26.6,89.1
36566.3,7.48,252.9,599.8,190.5,7.45,22.6,85.9,11.6,91.08
32554.6,7.14,204.7,414.6,173.2,7.29,12.3,44.5,6.8,93.99
34539.4,7.68,212.5,476.7,211.1,7.55,13.6,48.2,8.9,93.59
42532.3,7.66,239.7,538.7,174.4,7.66,33.4,105.6,23.9,86.05
41005.5,8.15,225.2,477.4,199.1,7.67,24.1,80.8,12.4,89.29
32134.7,7.89,86.8,194.7,237.2,7.67,3.0,15.3,5.4,96.55
38596.0,7.39,206.2,480.1,237.4,7.53,23.2,69.2,23.3,88.73
42508.3,8.26,168.9,334.2,175.1,7.71,20.0,59.2,18.8,88.19
27983.6,8.07,230.5,518.7,195.6,7.76,15.7,66.6,7.4,93.17
41260.2,7.87,399.1,778.5,273.7,7.41,60.0,120.0,41.7,84.97
34024.3,7.63,242.0,509.1,244.8,7.45,20.0,68.3,12.3,91.73
41423.6,7.41,201.2,475.4,323.8,7.41,27.3,88.5,29.8,86.42
33420.4,7.59,275.3,589.7,279.0,7.47,34.0,99.0,31.0,87.63
27170.7,8.03,249.0,518.5,277.2,7.68,20.8,63.7,19.7,91.66
28234.7,8.27,245.2,534.6,150.6,7.75,9.6,53.1,4.5,96.09
38288.5,8.16,256.4,617.1,258.2,7.73,30.6,102.2,24.0,88.08
39558.3,7.55,343.4,692.6,217.3,7.56,51.5,120.0,28.4,85.01
32574.1,7.36,152.1,318.7,192.5,7.39,7.5,25.5,6.5,95.06
41831.6,7.74,248.4,583.7,228.4,7.49,27.0,98.4,18.9,89.14
28030.9,7.17,164.4,392.3,267.3,7.43,9.9,43.6,6.8,93.99
37603.5,7.8,253.3,554.7,245.0,7.54,24.5,80.7,21.6,90.32
30733.9,7.66,164.9,342.3,176.1,7.44,7.4,31.1,5.2,95.5
34089.0,7.56,195.0,469.8,257.1,7.59,16.0,61.6,13.5,91.81
38284.4,7.22,202.3,477.3,188.1,7.51,11.1,44.6,6.4,94.53
32837.5,7.85,278.5,631.7,230.8,7.72,31.7,102.5,24.5,88.61
35692.7,7.54,275.1,582.9,204.8,7.53,31.1,83.6,16.1,88.71
44037.8,7.35,145.3,318.9,209.1,7.5,16.7,51.2,22.1,88.48
34538.6,6.84,223.3,487.7,258.3,7.4,17.0,61.8,16.8,92.38
43014.2,7.69,177.4,396.2,168.0,7.51,13.1,50.8,7.7,92.62
31221.8,8.23,144.5,338.8,317.3,7.8,4.0,28.0,7.3,97.22
41178.8,8.2,207.0,473.6,128.9,7.73,14.9,62.7,6.2,92.83
46649.4,7.56,201.5,421.6,190.1,7.58,25.7,80.7,20.2,87.24
23170.1,7.52,365.6,854.7,238.5,7.52,34.8,120.0,14.4,90.47
33218.6,7.84,246.0,548.9,249.2,7.69,29.0,97.0,25.1,88.23
41462.4,7.4,137.3,311.6,215.0,7.49,6.8,33.0,6.4,95.02
36781.7,7.79,186.1,436.7,217.1,7.48,13.8,52.0,11.0,92.61
40226.9,7.93,281.3,587.6,240.5,7.73,39.7,115.8,30.3,85.89
34376.1,8.07,345.3,758.4,208.4,7.6,36.5,120.0,22.3,89.43
38519.5,7.67,124.8,268.0,289.7,7.64,12.0,38.8,20.7,90.39
37065.9,7.64,107.2,219.0,262.0,7.54,6.9,27.4,9.4,93.55
45006.7,7.44,332.3,742.5,263.6,7.56,58.7,120.0,39.1,82.32
39526.5,7.45,243.4,596.6,171.7,7.57,23.2,80.7,12.9,90.47
40025.6,7.63,167.9,338.5,216.0,7.57,15.2,51.7,16.9,90.94
35528.7,7.81,252.1,553.8,205.0,7.63,29.5,95.6,15.6,88.3
35074.4,7.97,80.0,181.1,169.7,7.67,3.0,16.9,4.7,96.25
35404.7,7.46,220.2,487.2,238.0,7.35,17.4,63.7,11.5,92.11
40366.7,8.15,239.7,524.6,193.1,7.7,27.3,80.6,18.9,88.6
35474.1,7.62,275.5,570.2,252.8,7.46,28.7,86.4,22.2,89.59
39738.6,7.69,159.2,353.9,166.5,7.57,14.8,45.2,12.6,90.69
50452.4,7.48,225.1,478.3,306.0,7.41,38.4,99.5,48.0,82.93
43226.7,6.97,164.5,325.8,175.2,7.26,17.2,54.8,14.0,89.51
36043.9,7.97,235.3,545.8,231.0,7.75,21.3,80.0,12.3,90.94
45207.3,7.92,166.3,381.8,259.6,7.7,19.6,63.2,25.4,88.21
35551.5,7.62,195.5,431.1,191.5,7.53,13.4,42.9,8.0,93.15
25771.3,7.72,160.3,356.2,262.6,7.58,3.9,24.9,5.9,97.54
31951.5,7.85,259.1,597.8,158.5,7.59,17.4,63.5,7.1,93.28
26775.2,7.23,271.5,603.4,292.6,7.46,21.3,84.7,10.4,92.17
35890.9,7.54,205.9,471.6,220.7,7.47,21.6,67.0,19.7,89.53
38110.5,7.94,222.3,482.4,190.2,7.7,21.4,64.7,14.3,90.38
48058.6,7.32,133.1,310.2,205.0,7.43,15.1,52.8,21.1,88.64
39961.6,7.79,202.0,450.9,260.4,7.56,24.1,71.4,25.1,88.09
36685.4,7.29,217.0,481.6,190.8,7.44,20.3,77.9,19.6,90.66
42976.4,7.84,377.2,782.0,182.5,7.56,60.0,120.0,28.2,84.1
24733.2,7.69,153.3,341.6,208.9,7.58,8.3,29.8,8.3,94.62
39413.7,7.22,307.9,651.7,161.2,7.38,41.5,107.1,21.2,86.52
42625.2,8.05,279.8,597.7,311.0,7.7,41.7,118.9,38.1,85.09
29128.5,7.48,236.8,501.7,191.7,7.58,20.1,62.3,14.6,91.51
44862.5,7.46,325.5,681.4,261.6,7.44,54.5,120.0,40.0,83.26
40031.0,7.76,242.3,584.6,230.5,7.57,21.4,88.4,12.0,91.15
35508.3,8.04,243.3,567.8,170.8,7.7,18.2,73.7,13.1,92.53
41796.7,7.4,216.8,518.6,219.7,7.44,19.4,70.9,18.5,91.06
51624.2,7.72,293.4,609.6,259.2,7.6,52.5,120.0,40.1,82.1
39091.2,7.83,285.8,630.8,210.6,7.64,31.5,103.2,15.6,88.98
39489.3,7.91,182.5,377.8,279.7,7.7,20.9,59.4,30.1,88.56
35243.8,7.75,140.8,300.1,271.1,7.53,12.0,37.7,15.6,91.5
32900.9,7.59,207.8,438.1,265.9,7.46,25.5,77.3,26.0,87.75
42982.0,7.45,172.0,399.7,197.0,7.46,13.9,54.2,16.7,91.93
32863.5,7.73,216.2,467.0,166.0,7.5,10.0,45.2,3.1,95.38
38429.4,7.38,294.2,678.8,189.3,7.5,38.1,117.8,19.0,87.04
35134.1,6.82,192.6,435.3,229.8,7.22,15.6,59.5,15.3,91.88
40873.9,7.83,217.4,528.4,247.3,7.76,28.3,91.4,23.3,86.98
40002.0,7.97,223.5,458.6,111.4,7.73,19.0,62.2,6.5,91.5
44225.2,6.99,270.9,630.1,219.6,7.35,33.2,119.9,23.2,87.74
34939.9,7.4,85.2,197.2,227.9,7.53,6.6,22.1,12.6,92.25
36380.8,7.89,183.6,386.0,206.1,7.5,13.1,40.9,13.1,92.86
32127.4,8.32,232.7,535.3,284.6,7.92,21.6,72.6,21.7,90.71
35334.2,7.71,292.0,652.2,241.1,7.52,32.6,112.8,21.6,88.85
40263.8,7.48,190.5,414.7,285.5,7.49,20.5,64.9,24.9,89.22
42541.9,7.65,107.4,227.4,209.2,7.41,8.2,29.5,18.3,92.35
32467.0,8.11,257.2,547.3,266.9,7.72,25.3,77.7,17.2,90.15
43217.6,7.51,181.9,437.4,301.8,7.42,23.2,81.4,30.8,87.22
46133.8,7.46,148.6,327.0,285.6,7.5,16.0,48.7,25.1,89.25
40480.6,7.56,182.5,415.9,165.4,7.48,15.1,57.1,9.1,91.73
49260.8,7.41,208.9,443.1,207.3,7.4,28.0,81.2,20.4,86.62
33357.3,7.74,183.7,389.8,202.7,7.51,15.2,47.7,19.1,91.73
30532.1,8.19,87.7,202.4,244.5,7.72,3.1,17.5,4.8,96.46
27327.7,7.8,273.8,565.5,254.3,7.5,17.5,60.7,15.8,93.6
46976.3,7.62,296.5,640.0,178.1,7.48,46.2,120.0,22.9,84.4
41926.2,7.61,259.1,570.9,223.4,7.58,31.4,98.0,22.0,87.86
37666.5,7.23,151.7,335.5,119.0,7.6,5.5,16.1,2.9,96.36
39679.8,7.96,207.9,453.7,292.1,7.67,20.0,64.1,25.2,90.4
31247.1,7.68,219.6,491.8,194.4,7.49,15.6,55.1,12.3,92.88
52674.5,7.65,255.9,580.8,222.8,7.52,46.8,120.0,37.0,81.73
38775.3,8.66,260.1,591.3,204.5,7.85,39.6,112.3,26.4,84.76
38656.4,7.79,175.9,369.7,277.3,7.56,18.1,54.5,19.5,89.72
42354.6,7.47,224.9,488.4,80.0,7.56,24.2,82.4,7.4,89.25
40886.1,7.57,247.4,573.9,219.2,7.54,27.8,88.0,19.3,88.77
39343.3,8.04,307.3,703.7,214.7,7.73,41.7,120.0,25.4,86.42
33257.2,7.73,262.3,541.0,197.3,7.55,23.9,73.6,14.0,90.9
40828.8,7.27,267.3,597.6,306.3,7.52,45.0,120.0,47.1,83.16
49292.1,7.98,225.0,450.5,175.6,7.63,35.2,88.8,23.7,84.35
46072.5,7.5,304.6,671.6,258.6,7.43,49.0,120.0,34.8,83.92
47559.1,8.26,244.6,584.5,237.8,7.88,30.3,119.3,28.5,87.62
34932.7,8.02,168.3,354.4,283.1,7.53,12.7,49.8,19.2,92.45
32062.4,7.57,304.2,643.9,186.6,7.47,28.5,98.9,13.9,90.63
37245.3,8.08,261.9,596.1,183.4,7.63,24.5,87.7,8.2,90.66
38334.3,7.72,193.4,395.7,274.8,7.74,21.7,59.0,28.5,88.81
44565.1,7.96,191.2,408.6,241.3,7.76,22.3,68.6,19.1,88.32
27845.2,7.85,237.8,537.3,142.8,7.71,14.0,64.8,3.8,94.09
47177.3,7.45,247.8,529.4,193.0,7.46,32.5,90.6,21.5,86.89
37052.0,7.51,231.8,504.6,239.3,7.67,23.2,82.5,19.9,90.0
35438.7,8.01,238.7,542.9,261.9,7.68,23.0,85.2,21.4,90.38
31927.4,7.6,322.0,722.0,186.0,7.6,36.7,120.0,18.0,88.62
28070.9,7.58,284.3,633.0,80.0,7.54,13.2,57.6,2.7,95.36
42939.0,7.41,231.4,501.3,246.2,7.47,22.7,69.6,18.8,90.19
38439.9,7.83,276.5,618.5,159.0,7.58,34.2,105.5,13.9,87.64
30260.2,8.32,158.0,345.8,119.1,7.73,5.5,35.2,2.4,96.52
30229.5,7.38,243.9,547.7,80.0,7.51,12.1,44.0,2.6,95.04
35985.3,7.71,328.6,706.5,260.7,7.59,39.7,108.9,31.3,87.92
48014.1,8.12,206.9,451.4,226.4,7.68,31.3,88.5,27.6,84.89
36442.5,7.68,169.1,355.4,208.7,7.66,19.4,59.0,20.3,88.53
28981.1,7.84,180.9,397.3,289.5,7.39,6.9,36.0,5.7,96.17
36525.5,7.38,154.6,327.6,251.9,7.5,9.7,41.3,11.7,93.74
36363.7,7.83,172.9,361.1,300.8,7.65,21.1,56.2,30.0,87.82
21818.7,7.64,197.8,440.2,150.4,7.62,4.9,21.7,4.0,97.55
37674.2,8.0,135.7,301.4,218.3,7.64,5.9,35.1,6.1,95.67
36614.4,8.06,220.9,503.4,139.2,7.68,13.8,50.5,4.9,93.76
42177.2,8.48,274.1,591.3,208.5,7.86,32.9,92.9,19.5,88.01
49093.7,7.87,165.5,370.9,207.6,7.72,21.4,69.3,20.1,87.05
44759.4,7.8,311.2,701.7,251.3,7.57,50.3,120.0,34.2,83.82
36386.7,7.76,250.6,562.6,222.3,7.6,26.1,87.9,18.5,89.57
31360.8,7.59,281.8,596.8,251.2,7.65,23.0,80.9,10.7,91.84
53440.2,7.8,180.5,399.9,255.2,7.44,30.4,93.1,36.8,83.16
38355.3,7.61,271.3,606.7,327.7,7.49,41.0,116.9,38.4,84.88
38083.6,7.75,154.5,340.0,204.2,7.68,8.8,42.5,7.8,94.33
37855.2,8.1,273.4,544.5,172.9,7.76,30.9,77.3,18.4,88.69
39188.5,7.4,230.3,510.4,232.3,7.51,20.6,75.2,13.5,91.06
37133.8,8.04,253.2,613.0,179.9,7.63,28.3,93.7,15.6,88.83
34558.0,8.1,149.5,323.4,294.1,7.62,11.6,47.1,17.0,92.24
34718.8,7.66,166.3,353.7,205.8,7.51,13.0,45.1,11.9,92.19
37803.5,7.06,255.8,572.4,191.7,7.48,27.7,86.5,17.7,89.18
34739.5,7.52,163.1,363.9,196.4,7.46,12.6,53.5,11.6,92.24
33722.9,8.09,247.8,574.7,255.9,7.68,25.5,93.6,23.5,89.69
38638.6,7.69,138.0,286.2,212.1,7.51,12.7,44.4,13.3,90.77
36470.1,7.4,270.9,615.8,187.9,7.53,25.1,82.0,14.7,90.73
47024.0,7.55,146.0,329.9,303.3,7.48,16.8,52.3,30.6,88.52
22094.2,7.95,253.1,553.3,177.2,7.63,16.4,63.4,9.4,93.54
44549.0,7.86,257.5,575.3,221.8,7.49,31.3,98.4,21.3,87.86
45476.5,7.63,178.2,410.4,252.6,7.43,15.3,59.6,16.3,91.44
25559.7,7.59,254.9,583.1,138.4,7.53,11.4,45.8,3.0,95.52
35943.9,7.58,235.6,491.4,244.0,7.43,26.1,80.3,24.1,88.91
35771.4,7.42,187.7,428.3,167.2,7.62,5.5,33.8,3.7,97.05
29554.9,8.18,159.5,349.8,261.1,7.56,11.8,39.1,10.9,92.61
33333.1,7.6,102.2,225.7,171.9,7.47,3.8,18.0,3.2,96.29
31336.5,8.07,241.0,531.9,254.6,7.67,19.8,69.3,19.0,91.79
48513.6,8.16,126.1,275.6,275.3,7.67,12.3,32.2,18.1,90.24
